Title,Title_URL,Image,Time,Name,Description,Summary
Planning site largely restored after cyber attack,https://www.bbc.com/news/uk-england-gloucestershire-63087153,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/ED94/production/_126902806_hi063249521.jpg,"Posted at 14:26 30 Sep
14:26 30 Sep",,,"A key part of Gloucester City Council's online planning system has been restored, it says."
Finland wants to transform how we make clothes,https://www.bbc.com/news/business-62806565,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/4056/production/_126607461_2022_adidas_terrex_hs1_spinnova_female_1.jpg,"Posted at 4:46 30 Sep
4:46 30 Sep",By Maddy Savage,"BBC News, Helsinki",Firms behind innovative fibres says they can make fashion a more sustainable business.
Google to close Stadia service and refund gamers,https://www.bbc.com/news/technology-63082320,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/3907/production/_126899541_gettyimages-1136864094.jpg,"Posted at 23:31 29 Sep
23:31 29 Sep",By Tom Gerken,Technology team,Stadia allows players to stream games online without owning a console.
Medical supplies drone trial takes off in Tayside,https://www.bbc.com/news/uk-scotland-tayside-central-63075005,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/3EB1/production/_126894061_mercurydroneports.jpg,"Posted at 19:33 29 Sep
19:33 29 Sep",,,It is hoped the test flight will pave the way for regular transports across Dundee and Angus.
UN elects first female tech agency chief,https://www.bbc.com/news/technology-63074895,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/16E85/production/_126892839_gettyimages-1243589516.jpg,"Posted at 17:56 29 Sep
17:56 29 Sep",By Tom Gerken,Technology team,Doreen Bogdan-Martin is the first International Telecommunication Union secretary-general in its history.
How a massive data breach has exposed Australia,https://www.bbc.com/news/world-australia-63056838,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/409B/production/_126893561_mobile_phone_2_getty.jpg,"Posted at 6:50 29 Sep
6:50 29 Sep",By Tiffanie Turnbull,"BBC News, Sydney",Anger rises after 40% of Australians had details stolen in possibly the nation's worst-ever breach.
Sue the search engine: EU mulls new law on AI,https://www.bbc.com/news/technology-63033084,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/E6B2/production/_126885095_gettyimages-1239386581.jpg,"Posted at 23:52 28 Sep
23:52 28 Sep",By Liv McMahon,Technology team,People harmed by AI-powered products will have easier access to legal help.
Stranger Things star speaks about racism from fans,https://www.bbc.com/news/newsbeat-63060225,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/4E8C/production/_126880102_caleb.jpg,"Posted at 22:14 28 Sep
22:14 28 Sep",By Manish Pandey,Newsbeat reporter,"The actor, who plays Lucas Sinclair in the show, says his experience of bigotry ""affected him a lot""."
NHS app hits 30 million downloads in England,https://www.bbc.com/news/technology-63048021,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/D245/production/_126892835_mediaitem126892834.jpg,"Posted at 19:57 28 Sep
19:57 28 Sep",By Tom Gerken,Technology team,"The health service says 448,000 people have used the app to make decisions on organ donations."
"Social media causes issues, Molly headteacher says",https://www.bbc.com/news/uk-england-london-63034686,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/183C4/production/_126786299_mollyrussell1.jpg,"Posted at 17:00 28 Sep
17:00 28 Sep",,,"Molly Russell, 14, viewed social media posts about self-harm and suicide before taking her own life."
Asthma app aims to reduce attacks in children,https://www.bbc.com/news/uk-england-norfolk-63060912,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/C857/production/_126878215_microsoftteams-image-104.png,"Posted at 16:52 28 Sep
16:52 28 Sep",,,"A consultant paediatrician says the digital project has ""huge potential"" to reduce admissions."
How drones are replacing people in sewer surveys,https://www.bbc.com/news/uk-scotland-63053663,,"Posted at 11:13 28 Sep
11:13 28 Sep",,,
Drone technology used to inspect Scotland's sewers,https://www.bbc.com/news/uk-scotland-63048466,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/ADB2/production/_126866444_scottishclimateweek-sewerdrones2.jpg,"Posted at 11:10 28 Sep
11:10 28 Sep",,,Scottish Water says drones replace the need for workers to go into sewage pipes for inspections.
MoD and Home Office ignored people's data requests,https://www.bbc.com/news/technology-63048984,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/1CC6/production/_126866370_gettyimages-1319183692.jpg,"Posted at 4:49 28 Sep
4:49 28 Sep",By Shiona McCallum,Technology reporter,Data watchdog says it is naming and shaming seven organisations for failing to share information.
Netflix plans to launch own video game studio,https://www.bbc.com/news/technology-63048019,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/682B/production/_126876662_gettyimages-1236357919.jpg,"Posted at 22:06 27 Sep
22:06 27 Sep",,,Studio in Finland is the latest and clearest example of the streaming giant moving into gaming.
School shuts after alleged social media gun threat,https://www.bbc.com/news/uk-wales-63049150,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/E5A8/production/_110029785_mediaitem110029784.jpg,"Posted at 19:10 27 Sep
19:10 27 Sep",,,A city school closes for the day after an allegation of a threatening social media post.
Posts seen by Molly affected my sleep - psychiatrist,https://www.bbc.com/news/uk-england-london-63049167,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/183C4/production/_126786299_mollyrussell1.jpg,"Posted at 18:50 27 Sep
18:50 27 Sep",,,"Molly Russell, 14, viewed social media posts about self-harm and suicide before taking her own life."
Cyber attack continues to hit NHS trust's services,https://www.bbc.com/news/uk-england-oxfordshire-63046401,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/3534/production/_126502631_editeddoctorspaperwork2.jpg,"Posted at 17:24 27 Sep
17:24 27 Sep",,,The CEO of Oxford Health Foundation Trust says it has done all it can to maintain services.
How Facebook saved a fishing boat from failure,https://www.bbc.com/news/uk-england-cumbria-62968779,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/DEE5/production/_126816075_mediaitem126784321.jpg,"Posted at 10:26 27 Sep
10:26 27 Sep",By Francesca Williams,BBC News,"The McAvoy family, who fish out of Maryport in Cumbria, turned to Facebook to survive the pandemic."
Tim Cook: No excuse for lack of women in tech,https://www.bbc.com/news/technology-63033078,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/276E/production/_126849001_gettyimages-1421648721.jpg,"Posted at 5:16 27 Sep
5:16 27 Sep",By Zoe Kleinman,Technology editor,Apple chief executive tells the BBC the tech sector needs more women in order to thrive.
Is Finland's Wood City the future of building?,https://www.bbc.com/news/business-62798950,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/242C/production/_126606290_supercellreception.jpg,"Posted at 4:35 27 Sep
4:35 27 Sep",By Maddy Savage,"BBC News, Helsinki","New public buildings in Finland have to incorporate more wood, which is leading builders to innovate."
Google 'airbrushes' out emissions from flying,https://www.bbc.com/news/science-environment-62664981,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/1793D/production/_126437569_gettyimages-1356117641.jpg,"Posted at 22:11 26 Sep
22:11 26 Sep",By Justin Rowlatt,Climate editor,"Passengers could now underestimate their flights' emissions by nearly half using the Google tool, BBC reveals."
"Posts viewed by Molly Russell were safe, Meta says",https://www.bbc.com/news/uk-england-london-63034300,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/183C4/production/_126786299_mollyrussell1.jpg,"Posted at 20:36 26 Sep
20:36 26 Sep",,,The 14-year-old girl viewed material about self-harm and suicide before she took her own life.
TikTok may be fined for failing to protect children,https://www.bbc.com/news/technology-63033263,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/21BB/production/_126853680_gettyimages-1236533862-594x594.jpg,"Posted at 17:23 26 Sep
17:23 26 Sep",By Shiona McCallum,Technology reporter,The video-sharing platform has been issued with a final notice of intent by the UK's data watchdog.
Interpol seeks failed crypto-firm boss Do Kwon,https://www.bbc.com/news/technology-63033262,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/16EEF/production/_126853939_mediaitem126853938.jpg,"Posted at 16:54 26 Sep
16:54 26 Sep",,,Agency asks police forces around the world to seek and detain the South Korean businessman.
Flying 3D printers work like bees to fix buildings,https://www.bbc.com/news/uk-england-bristol-62993125,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/16DA/production/_126805850_dronepicture.jpg,"Posted at 11:07 26 Sep
11:07 26 Sep",,,Cement-like materials used by the worker drones were designed by a team at the University of Bath.
New £10m battery assembly line begins manufacturing,https://www.bbc.com/news/uk-england-tyne-63027180,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/AB8A/production/_126841934_mediaitem126841932.jpg,"Posted at 11:05 26 Sep
11:05 26 Sep",,,Electric versions of the Qashqai and Juke are now rolling off the lines at Nissan's Sunderland plant.
The stalker who reported on his own trial,https://www.bbc.com/news/uk-england-nottinghamshire-62406914,https://ichef.bbci.co.uk/live-experience/cps/320/cpsprodpb/69DC/production/_126200172_pa-67746304.jpg,"Posted at 12:43 24 Sep
12:43 24 Sep",,,Does the fact a stalker was allowed to report on his own case have implications for future trials?
